id,tytul,autor,ilosc,kategoria
1236,"Michał Grażyński (nie okończona biografia)","Aleksander Kamiński",1,Historyczne
1237,"Warszawskie Szare Szeregi 1939 - 1945","Marian Michałowski",2,Historyczne
1238,"Krakowskie Szare Szeregi","Hm. SStanisław Porębski",1,Historyczne
1239,"Twórcy polskiego skautingu - Olga i Andrzej Małkowscy","Edyta Głowacka - Sobiech",1,Historyczne
1240,"Wiosłem i piórem","Mścisław Wróblewski",1,Historyczne
1241,"Opowiadania z życia Skauta Naczelnego","E. Sk.",1,Historyczne
1242,"Piotr Pomian. Szef Głównej Kwatery Szarych Szeregów","Danuta Kaczyńska, Godfryd Pyka",2,Historyczne
1243,"Młodzi z garnizonu Łódź promieniści","Stanisław Gajek",1,Historyczne
1244,"Geneza harcerstwa; teksty źrółowe","Marian Miszczuk",1,Historyczne
1245,"Stemple pocztowe o tematyce harcerskiej 1914-1985","Ryszard Jakubowski, Witold Rusiniak",1,Historyczne
1246,"Rozkaz: zdobyć więzienie","Stanisław Maria Jankowski, Stanisłąw Dąbrowa - Kostka",1,Historyczne
1247,"Geneza ZHP ","Jan Lewandowski",1,Historyczne
1248,"Największe bitwy XX wieku. Kreta 41","Tomasz Nowakowski, Mariusz Skotnicki",1,Historyczne
1249,"Stanisław Dubois","Bożena Krzywobłocka",1,Historyczne
1250,"Szare Szeregi 1939 - 2009","hm. Jerzy Jabrzemewski ps. ""Wojtek""",2,Historyczne
1251,"Harcmistrzyni Anna Dyyńska-Paszkowska, Naczelniczka Harcerek 1928-1931","Magdalena Jędrzejewska",1,Historyczne
1252,"Harcerstwo w Tomaszowie Mazowieckim w latach 1911 - 1918","Antoni Woskowski",1,Historyczne
1253,"Jan Kowalewski. Oto jest ktoś, kto odczytuje bolszewickie szyfry.","Bartłomiej Kluska",1,Historyczne
1254,"Aleksander Napiórkowski. Towarzysz ""Stefan""","Bartłomiej Kluska",1,Historyczne
1255,"ks. Ignacy Skorupka. Właśnie dlatego chcę iść do wojska.","Bartłomiej Kluska",1,Historyczne
1256,"Stefan Pogonowski. Obowiązek, wiara.","Bartłomiej Kluska",1,Historyczne
1257,"Zamach na Kutschere","Andrzej Czerkawski",1,Historyczne
1258,"Moje harcerskie lata","Antoni Wasilewski",1,Historyczne
1259,"ul ""Kominy"" XXX Lat środowiska Szarych Szeregów","Środowisko Szarych Szeregów",1,Historyczne
1260,"ul ""Kominy"" XXXV Lat środowiska Szarych Szeregów","Środowisko Szarych Szeregów",1,Historyczne
1261,"Harcerstwo na Warmii i Mazurach 1919-1982","Zofia Januszkiewicz",1,Historyczne
1262,"Uwolnić ""Cyfrę""","Wydawnictwo Szarych Szeregów",2,Historyczne
1263,"Szare Szeregi na Rzeszowszczyźnie","Janusz Krężel",1,Historyczne
1264,"Sopockie Harcerstwo. klisze pamięci","Dariusz Szczecina",1,Historyczne
1265,"Narodowych symboli chwała","Stefan Wojtkiewicz ",2,Historyczne
1266,"25 lat tradycji i osiągnięć Instruktorskiego Kręgu Pokoleń ""Romanosy""","hm. Róża Karwecka, hm. Stefan Romanowski",1,Historyczne
1267,"Walka o nowe harcerstwo","Pelagia Lewińska",1,Historyczne
1268,"Byłam sekretarką Rumkowskiego. Dziennik Etki Daum.","Elżbieta Cherezińska",1,Historyczne
1269,"Myśl o Polsce, o mnie nie myśl wcale.","Waldemar Doniec, Zygmunt Luboński, Janusz Włodarski",2,Historyczne
1270,"Rzymianin z AK","Wojciech Wiśniewski",1,Historyczne
1271,"Biali harcerze","Roman Peska",2,Historyczne
1272,"Związek Harcerstwo Polsiego w latach 1944 - 1950. Powstanie, rozwój, likwidacja.","Julian Kwiek",1,Historyczne
1273,"Płonie ogień harcerskich serc i wieją wichry ","Hm. Helena Ostaszewska",1,Historyczne
1274,"W harcerskiej służbie. Fakty i dokonania Związku Harcestwa Polskiego poza granicami kraju 1939 - 2000","Muzeum niepodległości ",1,Historyczne
1275,"Szkoła Instruktorska Harcerstwa Żeńskiego na Buczu","Anna Zawadzka",2,Historyczne
1276,"Ewolucja modelu wychowania skautingu w harcerstwie","Krzysztof Blusz",1,Historyczne
1277,"Ewolucja modelu wychowania skautingu w harcerstwie 1909-1945","Krzysztof Blusz",1,Historyczne
1278,"70 lat harcerstwa polskiego. Historia, tradycja, zasłużeni dla związku.","Michał Haykowski",1,Historyczne
1279,"Harcerski trop prowadzi w przyszłość. Harccerstwo na ziemii łódzkiej 1910 - 2010","Agnieszka Kazek",2,Historyczne
1280,"Frombork - lipiec 1973","Praca zbiorowa",1,Historyczne
1281,"90 lat Hufca ZHP Skierniewice. 1919 - 2009","Hufiec Skierniewice",2,Historyczne
1282,"Z ziejów przemyskiego harcerstwa 1911-1981","Stanisław Krakowski",1,Historyczne
1283,"Bądź gotów w 50 rocznicę czerwonego harcerstwa TUR.","pod red. Janusza Radajczaka",1,Historyczne
1284,"Ponury, nurt, ich żołnierze","Wydawnictwo Archidiecezji Warszawskiej",1,Historyczne
1285,"Harcerstwo według Fietkiewicza","Henryk Pytlik",1,Historyczne
1286,"Zlot ZHP 1988. Warmia i Mazury. 9 - 23 lipca 1988 r.","Jacek Zalewski",3,Historyczne
1287,"Z dziejów Związku Harcerstwa Polskiego w latach 1944-50","Adam Kiewicz",3,Historyczne
1288,"Operacja Łódzka 1914 roku - warto pamiętać.","pod red. Pawła Lewiaka i  Piotra Marciniaka",1,Historyczne
1289,"Zawisza to właśnie my; knypa zawiszaka","Jolanta Błażejczyk",1,Historyczne
1290,"Powstańcze biografie - Łódzkie echa Powstania Warszawskiego",IPN,1,Historyczne
1291,"Olga Małkowska, Harcmistrzyni Rzeczypospolitej","Józef Bielecki",1,Historyczne
1292,"Nigdy Więcej Wojny. ","Stowarzyszenie Pax",1,Historyczne
1293,"6 Poznańska Drużyna Skautowa. 1 Lotnicza Drużyna Harcerzy. 1912 - 1982. Część II","Józef Derda",1,Historyczne
1294,"Zbrodnie hitlerowskie w powstaniu Warszawa Wola","Andrzej Czerkawski",1,Historyczne
1295,"Odziały szturmowe konspiracyjnej Warszawy 1939 - 1945.","Tomasz Strzembosz",1,Historyczne
1296,"Harcerskie środowiska Lubelszczyzny 1911-1939","Bolesław Zimmer",1,Historyczne
1297,"Rewolucja 1905. Przewodnik krytyki politycznej","pod red. Kamila Piskały i Wiktora Marcy",1,Historyczne
1298,"Kolumbowie rocznik 20. Tom 2.","Roman Bratny",1,Historyczne
1299,"Kolumbowie rocznik 20. Tom 3.","Roman Bratny",1,Historyczne
1300,"Materiały historyczne stowarzyszenia Szarych Szeregów nr 8","Praca zbiorowa",1,Historyczne
1301,"Związek Młodzieży Polskiej. ","Bogdan Hillerbrandt",1,Historyczne
1302,"Ruch młodzieżowy w Polsce","Bogdan Hillerbrandt",1,Historyczne
1303,"W rytmie fabrycznych syren. Łódź między wojnami.","Wacław Pawlak",1,Historyczne
1304,"Kronika Strachowic, pobudka","Jerzy Krukowski",1,Historyczne
1305,"Tropami powstanczej przesyłki.","Jerzy Kasprzak",6,Historyczne
1306,"Powstanie Warszawskie","Jan M. Ciechanowski",1,Historyczne
1307,"Czerwone Harcerstwo TUR w Łodzi. Wspomnienia z lat 1929 - 1939",ZSMP,1,Historyczne
1308,"Jan Rodowicz ""Anoda"" (1923-1949)","Instytut Pamięci Narodowej",1,Historyczne
1309,KIHAM,"Stanisław Czopowicz",1,Historyczne
1310,"Instruktor Wolontariusz","Emilia Kulczyk-Prus",23,Instrukorzy
1311,"Teka edukacyjna - harcerskim tropem do niepodległości","Chorągiew Stołeczna ZHP",2,Program
1312,"Paszport do Europy - Zucholandia","hm. Sławomir Rudziński",1,Program
1313,"Od akceptacji do integracji","Dorota Kołakowska, Alina Żwirlbińska",1,Program
1314,"Leksykon Harcerstwa","pod. red Olgierda Fretkewicz",6,"Dla każdego"
1315,"Teka drużynowego - Szare Szeregi","Chorągiew Stołeczna ZHP",1,Program
1316,"Teka drużynowego - Harcerskim tropem do niepodległości","Chorągiew Stołeczna ZHP",1,Program
1317,"Miejska Impreza Na Orientację","Urząd Miasta Łodzi",1,Program
1318,"Nad czarną wodą płócienny nasz dom","Sylwester Banaś",3,"Dla każdego"
1319,"Encyklopedia Popularna PWN",PWN,1,"Dla każdego"
1320,"Mury w Ravensbruck","Danuta Brzosko - Mędryk",2,"Dla każdego"
1321,"Ilustrowany Atlas Świata","Reader's Digest Przegląd",1,"Dla każdego"
1322,"Nowy ślad Czarnych Stóp","Seweryna Szmaglewska",2,"Dla każdego"
1323,"Radość i satysfakcja 2.0","Grzegorz Całek",2,"Dla każdego"
1324,"Harce młodzieży polskiej","E. Piasecki, M.Schreiber",1,"Dla każdego"
1325,"Pod totemem słońca","Antoni Wasilewski",3,"Dla każdego"
1326,"Kamienie na szaniec","Aleksander Kamiński",8,"Dla każdego"
1327,"Jak skauci pracują","Andrzej Małkowski",3,"Dla każdego"
1328,"Wilk który nigdy nie śpi","Walter Hansen",1,"Dla każdego"
1329,"Droga przez mękę","Aleksy Tołstoj",1,"Dla każdego"
1330,"Księga Jaszczurki","Aimee Degallier- Martin",2,"Dla każdego"
1331,"Jarek i Marek na tropie szpiega ","Cezary Leżeński ",1,"Dla każdego"
1332,"Jarek i Marek bronią warszawy","Cezary Leżeński ",1,"Dla każdego"
1333,"Harcerski zostanie krzyż","Bronisław Kubiak",1,"Dla każdego"
1334,"Ludzie wielkiej przygody","J.Chudzikowska i J. Jaster",1,"Dla każdego"
1335,"Inne Historie","Bruno Ferrero",1,"Dla każdego"
1336,"Bohater na ośle","Miodrag Bulatowic",1,"Dla każdego"
1337,"Na szlaku chudego wilka","Henryk Glass",1,"Dla każdego"
1338,"""Hej, chłopcy..."" - zawiszacy z szarych szeregów.","Zygmunt Głuszek",1,Historyczna
1339,"Mleko i miód",Lauretta,1,"Dla każdego"
1340,"Obrońcy Westerplatte","Zofia Meisner",1,"Dla każdego"
1341,"Wileka przygoda życia ","Andrzej Glass",1,"Dla każdego"
1342,"Czarne Stopy","Seweryna Szmaglewska",1,"Dla każdego"
1343,"Styl życia","Stefan Mirowski",1,"Dla każdego"
1344,"Gawędy z drużynowym","Henryk Glass",6,"Dla każdego"
1345,"Robert Baden-Powell","Teresio Bosco",1,"Dla każdego"
1346,"Płonie ognisko","Andrzej Glass",2,"Dla każdego"
1347,"Geneza Polskiego Skautingu","Henryk Bagiński",2,"Dla każdego"
1348,"Obejmujesz drużynę - maile nocą pisane","Janusz Sikorski ps. ""Wilk Ojciec""",1,"Dla każdego"
1349,"Pełnić służbę Bogu i Polsce","Grzegorz Ciura",1,Instruktorzy
1350,"Rozwój idei puszczańskiej w skautingu 1902-1939","Tadeusz Wyrwalski",1,"Dla każdego"
1351,"Na tropie przygody","Frantisek A. Elstner",2,"Dla każdego"
1352,"Mały spojrzenia łyk","Katarzyna Majchrzak - Kososka, Karol Nowacki, Zdzisław Małolepszy",1,"Dla każdego"
1353,"Gawędy Wilka Ojca ","Janusz Sikorski ps. ""Wilk Ojciec""",1,"Dla każdego"
1354,"Wiersze ","Mietek Kozak",1,"Dla każdego"
1355,"kwiaty po prostu kwitną","Bruno Ferrero",1,"Dla każdego"
1356,"Życie po japońsku","Janina Rubach - Kuczewska",1,"Dla każdego"
1357,"Obozy wędrowne","Jarosław Balon",2,"Metodyka wędrownicza"
1358,"Zastęp starszych chłopców","Jerzy Kreiner",1,"Metodyka wędrownicza"
1359,"Sakwa włóczyikija","Stefan Sosnowski, Jan Stykowski",1,"Dla każdego"
1360,"Sto pomysłów na sto zbiórek, czyli życie artystyczne w drużynie","Zdzisław Małolepszy",1,"Metodyka harcerski"
1361,"Poradnik małego skauta","Marcin Przewoźniak",1,Poradniki
1362,"Sam wiosłuj w swojej Łodzi; gawędy dla wędrowników","Robert Baden-Powell",7,"Metodyka wędrownicza"
1363,"Zarys dziejów harcerstwa dla zdobywających stopnie harcerskie","Grzegorz Skrukwa",1,"Dla każdego"
1364,"An English cookbook",nieznany,1,"Dla każdego"
1365,"Wędrownicy ","Paweł Mateusz Puciata",3,"Metodyka wędrownicza"
1366,(Nie)poradnik,"Agata Gładysz, Marcin Walczak",4,Poradniki
1367,Obozy,"Zbigniew Trylski",1,"Obóz i kolonia"
1368,"Krzyż Harcerski. Podstawowe wiadomości","Anna Chyła",2,Poradniki
1369,"Indywidualizm i posłuszeństwo w wychowaniu harcerskim","Zbigniew Stieber",1,Instruktorzy
1370,"Poradnik harcerski","hm. Adrian Łażewski",2,Poradniki
1371,"Vademecum Zastępowego ","Marek Kudasiewicz",2,"Zastępowy"
1372,"Wampumy Leśnych; puszczańskie porady i sprawności","Gromada wilków kręgu czarnego dębu",4,"Puszczaństwo"
1373,"Nasz Bohater - zdobywanie imienia w drużynie harcerskiej","hm. Janusz Janicki",7,Instruktorzy
1374,"Uniwersalny język znaków Indian równin Ameryki Północnej","William Tomkins",3,"Dla każdego"
1375,"Na tropach ludzi i zwierząt ","Tadeusz Sopoćko",1,"Dla każdego"
1376,"Chłopcy tamtych dni","Leszek Gaszyński",1,"Dla każdego"
1377,"Tata, a charlie powiedział","Wielu autorów",4,"Dla każdego"
1378,"Poselstwo Indianina","Ernest Thompson Seton",1,"Dla każdego"
1379,"Bitwa pod Zielonym Lasem","Paweł Wieczorek - Kohub ",2,"Dla każdego"
1380,"45 pomysłów na nabór","Poczta Harcerska Szczecin",4,Harcerska
1381,"Abecadło indiańskiego zwiadowcy","Charles A. Eastman",1,"Puszczaństwo"
1382,"Próby wodzów","Leopold Ungeheur",3,"Puszczaństwo"
1383,"Pokłosie ""Wędrówki do sukcesu"" ","Robert Baden-Powell",2,"Metodyka wędrownicza"
1384,"Nie śpij na apelu. Gimnastyka prawie jak...","Poczta Harcerska Szczecin",2,"Metodyka harcerska"
1385,"Poradnik dla harcerzy w terenie","phm. Robert Kędziora",1,Poradniki
1386,"Wilczy Szaniec; przewodnik po byłej kwaterze Hitlera","Jan Zduniak",1,Historyczne
1387,"Wyjdź w świat z obozu","T. Dąbrowska i inni",1,"Obóz i kolonia"
1388,"Wędrówka do sukcesu","Robert Baden-Powell",1,"Dla każdego"
1389,"Skauting dla chłopców","Robert Baden-Powell",1,"Dla każdego"
1390,"Gry pod dachem","Milos Zapletal",2,"Gry i zabawy"
1391,"Gry w terenie","Milos Zapletal",2,"Gry i zabawy"
1392,"Gry na boisku","Milos Zapletal",1,"Gry i zabawy"
1393,"Od harcerzy starszych do wędrowników","Piotr Niewiński",1,"Metodyka starszoharcerska"
1394,"Kapitan Kultura","Krzysztof Ostrowski ",6,"Dla każdego"
1395,"Leśna drużyna","Bolesław Mrówczyński",2,"Dla każdego"
1396,"Tworzywa sztuczne wokół na; platforma edukacyjna",PlasticsEurope,15,"Dla każdego"
1397,"Harcerze wierni do ostatka","Józef Kret",9,"Dla każdego"
1398,"Wzgórze Rosiczki","Paweł Wieczorek - Kohub ",1,"Dla każdego"
1399,"Wierna rzeka harcerstwa","Barbara Wachowicz",1,"Dla każdego"
1400,"Harcerstwo Polskie. Przywrocić Pamięć.","pod. red. Stanisława Sedlaczka i Lecha Grabowskiego ",1,"Dla każdego"
1401,"Odbudowa pracy w drużynach harcerskich. Przywrocić Pamięć.","Alojzy Pawełek",1,"Dla każdego"
1402,"Szkołą harcerska. Przywrocić Pamięć.","Stanisław Sedlaczek",1,"Dla każdego"
1403,"Harcerstwo. Przywrocić Pamięć.","praca zbiorowa pod red. Stanisława Sedlaczka",1,"Dla każdego"
1404,"Wytyczne metodyki harcerskiej. Przywrocić Pamięć.","Stanisław Sedlaczek",1,"Dla każdego"
1405,"Kształcenie Starszyzny harcerskiej. Wychowanie Wodzów. Przywrocić Pamięć.","Stanisław Sedlaczek, Georges Bertier",1,"Dla każdego"
1406,"Harcerstwo niepodległe. Przywrocić Pamięć.","Edward Muszalski.",1,"Dla każdego"
1407,"Wywiadowcy. Sceny z życia młodzieży. Przywrocić Pamięć.","E. Jezierski.",1,"Dla każdego"
1408,"Harcerstwo żywe i radosne. (Felietony harcerskie z tygodnika iskry z lat 1929 - 1933). Przywrocić Pamięć.","Aleksander Kamiński",1,"Dla każdego"
1409,"Organizacja Harcerstwa Polskiego. Przywrocić Pamięć.","Minister jakiś",1,"Dla każdego"
1410,"Kilka myśli o zadaniach harcerstwa. W polsce będzie lepiej!. Przywrocić Pamięć.","Stanisław Sedlaczek",1,"Dla każdego"
1411,"Na tropie wodza harcerskiego. Przywrocić Pamięć.","hm. Adam Czyżewski.",1,"Dla każdego"
1412,"Hasła współczesnej pracy harcerskiej. Gawędy obozowe. Przywrocić Pamięć.","Alojzy Pawełek",1,"Dla każdego"
1413,"Rozwój idei harcerskiej w Polsce. Przywrocić Pamięć.","Kazimierz Świrtun - Rymkiewicz",1,"Dla każdego"
1414,"Wstępuję do harcerstwa (felietony harcerskie z tygodnika ""Iskry"" z lat 1928 - 1929). Przywrocić Pamięć.","Aleksander Kamiński",1,"Dla każdego"
1415,"Niech nas uczy historia. (felietony harcerskie do tygodnika Iskry 1928-1935).Przywrocić Pamięć.","Aleksander Kamiński",1,"Dla każdego"
1416,"Gdzie wicher wojny...","Komenda Hufca Łódź - Polesie",1,"Śpiewniki"
1417,"Dzielność na progu XXI wieku. Jakich bohaterów tworzyłby i opisywał ""Kamyk"" dziś",Horyzonty,1,"Dla każdego"
1418,"Gawędy o tych które przewodziły","Anna Zawadzka",1,Historyczne
1419,"Leśnych almanach","Milan Kilmanek",2,"Puszczaństwo"
1420,"Czerwony Harcmistrz. Opowieść o Juliuszu Dąbrowskim","Kazimierz Koźniewski",1,"Dla każdego"
1421,"Jan Romocki","Krystyna Heska-Kwaśniewicz",2,"Dla każdego"
1422,"Na tropie prapradziadka Waleriana, czyli każdy znajdzie swój dom.","Henryk Makarski",2,"Dla każdego"
1423,"Wśród ludzi i książek ","Irena Lepalczyk",1,"Dla każdego"
1424,"Rózne oblicza harcerstwa ","Wojciech Śliwierski",1,"Dla każdego"
1425,"Jak dziś pamiętam","Janusz Meissner",2,"Dla każdego"
1426,"Mury. Harcerska konspiracyjna drużyna w Ravensbruck","Śląski Instytut Naukowy",1,"Dla każdego"
1427,"Losy dzieci polskich w okresie okupacji hitlerowskiej","Józef Wnuk",2,Historyczne
1428,"Biuro detektywistyczne Lassego i Mai. Tajemnica Mumii.","Martin Widmark, Helena Willis",1,"Dla każdego"
1429,"Biuro detektywistyczne Lassego i Mai. Tajemnica cyrku.","Martin Widmark, Helena Willis",1,"Dla każdego"
1430,"Lasy janowskie i Puszcza Solska","Waldemar Tuszyński ",1,Historyczne
1431,"Lato leśnych ludzi","Maria Radziewiczówna",1,"Dla każdego"
1432,"Miałem wtedy 14 lat","Jerzy Filipowicz",1,"Dla każdego"
1433,Ogniwo,"Janina Broniewska",1,"Dla każdego"
1434,Konspiracja,"Zdzisław Wróbel",1,"Dla każdego"
1435,"Sakwa włóczykija","Stefan Sosnowski",3,"Dla każdego"
1436,"Dziennik z Wykusu","Teofil Obra",1,"Dla każdego"
1437,"W ogniu walk 1905","Jerzy Targalski",1,"Dla każdego"
1438,"Nad wierną rzeką","Tadeusz Orkan - Łęcki",1,"Dla każdego"
1439,"Na szlakach walki","Andrzej Kozera",2,Historyczne
1440,"Józef Piłsudski. Marszałek.","Andezej Wojciechowski, Adam Kowalczewski",2,Historyczne
1441,"Powstanie Warszawskie","Jerzy Kirchmayer",1,Historyczne
1442,"Godzina W","Apoloniusz Zawilski",4,"Dla każdego"
1443,"Gawędy o przewodnikach tatrzańskich","Konstanty Stecki",1,"Dla każdego"
1444,"W powstaniu na mokotowie","Bronisłąw Wojciechowski",1,Historyczne
1445,"Dziennik lotnika dywizjonu 303","Witold Jaroszyk",1,Historyczne
1446,"Roosvelt a sprawa polska","Longin Pastusiak",1,Historyczne
1447,"Samouczek ze ściągą; historia polski 963-1989","W kolorach tęczy",1,Historyczne
1448,"Przez lata walki","Lesłąw M. Barteleski",1,"Dla każdego"
1449,"Zaczęło się pod Arsenałem ","Stanisław Jastrzębski",1,Historyczne
1450,"O grunwaldzie 1410-1960","Zygmunt Przybył ",1,"Dla każdego"
1451,"na spotkanie przyjaciołom. Przewodnik po harcerskich terenach działania","Barbara Domańska - Stankowska",1,Harcerska
1452,"Ognie i ogniska ","Kazimierz Koźniewski",1,Historyczne
1453,"Opowiadania z morałem ","Jadwiga Jasny, Irena Landau, Elżbieta Pałasz, Agnieszka Stelmaszyk",1,"Dla każdego"
1454,"Powietrze... Po Wietrze",InSea,2,"Dla każdego"
1455,"Ogień ogień ogień. ",InSea,2,"Dla każdego"
1456,"Podziemni żołnierze wolności ","Piotr Pawlina",1,Historyczne
1457,"Józef Grzesiak ""Czarny"" ","Aleksander Kamiński, Antoni Wasilewski",1,Historyczne
1458,"Materiały sesji ""Oddział wydzielony Wojska Polskiego majora Henryka Dobrzańskiego - Hubala""","Towarzystwo przyjaciół Muzeum w Tomaszowie Mazowieckim",1,Historyczne
1459,"Spadochroniarz ""Urban""","Adam Cyra",1,Historyczne
1460,"Kostiuchnówka 1916. Największa polska bitwa I wojny światowej.","Przemysła Waingertner",1,Historyczne
1461,"Bohaterowie trudnych czasów.","Jan Kowalewski",1,Historyczne
1462,"Anna Maria","Stanisław Majewski",1,Historyczne
1463,"Wojenne odcinki","Alicja Iwańska, Jan Gralewski",1,"Dla każdego"
1464,"Już nigdy nie pobiegnę za czerwonym tramwajem...","Staszek Kucia",8,"Dla każdego"
1465,Cudaki,"Wiesław Hudon",2,"Dla każdego"
1466,"""Kedyw"" Okręgu Warszawskiego Armii Krajowej w latach 1943 - 1944","Henryk Witkowski",1,Historyczne
1467,"Księga wypraw ratunkowych","Mariusz Zaruski, Józef Oppenheim",1,"Dla każdego"
1468,"Byłaś radością i dumą","Zbigniew Kabała ""Bobo""",1,"Dla każdego"
1469,"Miejsce obecności. Antologia Poetów i Pisarzy Sopotu 2018","zbiór: Ewa Polińska - Mackiewicz",1,"Dla każdego"
1470,"Mały spojrzenia łyk","Katarzyna Majchrak - Kososka, Karol Nowacki, Zdzisław Małolepszy",1,"Dla każdego"
1471,"A oni ginęli dalej...","Piotr Aleksander Kukuła",1,"Dla każdego"
1472,"Chatka puchatka","A. A. Milne",1,"Dla każdego"
1473,"Pewnego razu w Aniołowie, czyli skąd się biorą dzieci","Karolina Ślifirska",1,"Dla każdego"
1474,"Kosmiczne wakacje","Renata Opala",1,"Dla każdego"
1475,"Hercolubus, czyli czerwona planeta","V.M Rabolu",1,"Dla każdego"
1476,"Pięciopsiaczki","Wanda Chotomska",1,"Dla każdego"
1477,"Bajki lubią dzieci. Szlakiem bajkowych przyjaciół z Se-ma-fora. Przewodnik dla rodziców i dzieci","Urząd Miasta Łodzi",3,Turystyczne
1478,"Żądło genowefy","Janusz Meissner",1,"Dla każdego"
1479,"Alert stu przygód","Witold Zegalski",1,"Dla każdego"
1480,"Przed godziną W","Barbara Nawrocka - Dońska",1,"Dla każdego"
1481,"Nasze Bieszczady","Młodzieżowa Agencja Wydawnicza",1,"Dla każdego"
1482,"Nigdy tego nie zapomnę","Teresa Wróbel",1,"Dla każdego"
1483,"Znak Cichociemnych","Przemysław Bystrzycki",1,Historyczne
1484,"Ćwiki z warowni ""Śląsk""","Tadeusz Kur",1,Historyczne
1485,"Jasło oskarża. Zbrodnie hitlerowskiew regionie Jasielskim 1939 - 1945","pod red. Stanisława Cynarskiego i Józefa Garbacika",1,Historyczne
1486,"Z kart historii Polkich Janczarów XX wieku","Barbara Paciorkiewicz",1,Historyczne
1487,"Bez mundurów ","R. Bolduan, M. Podgóreczny",1,Historyczne
1488,"Plamy na lilijce","Mirosława Dołęgowska - Wysocka",1,Historyczne
1489,"W alejach spacerują ""Tygrysy"". Sierpień - wrzesień 1944","Elżbieta Ostrowska",1,Historyczne
1490,"Myśli dobre i niedobre na deszcz i na zawieję...","Stanisław Kucia",1,"Dla każdego"
1491,"O każdej twarzy chwilę myślę...","Staszek Kucia",5,"Dla każdego"
1492,Wiersze,"Staszek Kucia",1,"Dla każdego"
1493,"Latające Babcie z plusem","Paulina Kerzek - Trzeciak",1,"Dla każdego"
1494,"Mała syrenka ",Disney,1,"Dla każdego"
1495,Superrobot,Disney,1,"Dla każdego"
1496,Paddington,"Michael Bond",1,"Dla każdego"
1497,"Turystyka ","hm. Witold Koszil, hm. Wiesław Tomaszewski",2,Poradniki
1498,"ґерої теж плачуть (gieroj też placiut)","Alicja Safarzyńska - Płatos",11,"Dla każdego"
1499,"Książę i żebrak",Disney,1,"Dla każdego"
1500,"Złamane skrzydełko ",Disney,1,"Dla każdego"
1501,"Kuba i Buba czyli awantura do kwadratu","Grzegorz Kasdepke",1,"Dla każdego"
1502,"Latające bajki - pomagajki cz. 2","Paulina Kierzek - Trzeciak",1,"Dla każdego"
1503,"Znaki i znaczki","Sławomir Grabowski, Marek Nejman",1,"Dla każdego"
1504,"Wiersze dla dzieci","Julian Tuwim",1,"Dla każdego"
1505,"Latające bajki","Beata Śniecikowska",1,"Dla każdego"
1506,"Tajemnice pani Holly","Nadine Walter, Vincent Poensgen",2,"Dla każdego"
1507,"Badacze przyrody i nieba","Irmgard Maria Buscher",3,"Dla każdego"
1508,"Leksykon Chorągwii Gdańskiej ZHP","Zenon Kuligowski",1,Prasa
1509,"Ocean wolności. Cytaty mistrzów buddyjskich.","Wojtek Tracewski, Katarzyna Białą, Mistrzowie buddyjscy",1,"Dla każdego"
1510,"Cmentarz Żydowski w Łodzi","Mirosław Zbigniew Wojalski",1,Turystyczne
1511,"VI Zjazd ZHP. Jutro socjalistycznej Polski budujemy dziś.",GK,3,"Dokumenty wewnętrzne"
1512,"Cmentarz Żydowski w Łodzi","Bronisław Podgarbi",1,Turystyczne
1513,"W 40-lecie zjazdu łódzkiego","Wojciech J. Kantera",1,"Dokumenty wewnętrzne"
1514,"Wszystkie siły socjalistycznej Polsce",Horyzonty,2,"Dokumenty wewnętrzne"
1515,"Harcerstwo ",Horyzonty,2,Prasa
1516,"Wrzesień 1939. Wspomnienia harcerek i harcerzy z Łowicza. ",Wielu,1,"Dla każdego"
1517,"Światozmieniaze. Zrozumieć siebie i świat.","Anna Książek",3,Programy
1518,"Z dziejów miejskich tramwajów elektrycznych w Łodzi","Mpk łódź",1,Turystyczne
1519,"VII Zjazd ZHP","Młodzieżowa Agencja Wydawnicza",1,"Dokumenty wewnętrzne"
1520,"Rozczarowania i nadzieje","Wiesław Mercik",1,"Dla każdego"
1521,"Świat w roku 2000","Stefan Ciepły",1,"Dla każdego"
1522,"Przez cierpienie do gwiazd","Stanisła R. Brzostkiewicz",1,"Dla każdego"
1523,"Dla opiekunów prób na opiekunów prób na stopnie oraz osób planujących otwarcie próby na stopień, czyli jak przygotować program próby na stopień w oparciu o ideę stopnia przewodnika.","hm. Jolanta Kreczmańska",1,Instrutktorzy
1524,"XXVI Zjazd ZHP","Młodzieżowa Agencja Wydawnicza",1,"Dokumenty wewnętrzne"
1525,"Andrzej Małkowki 1888 - 1919","Olga Małkowska",3,Historyczne
1526,"...daj w niebo rwać sie skrzydłami orlemi ... Część I poezje. ","Olga Małkowska",2,"Dla każdego"
1527,"Nasze Hasło tom I.","XV ŁDH",1,Prasa
1528,"Wielka księga gromad zuchowych. ","Intruktorski krąg pokoleń ""Romanosy""",2,Prasa
1529,"Latawce ","Phillip Glass",1,Majsterka
1530,"Regulamin mundurowy 2015",GK,2,"Dokumenty wewnętrzne"
1531,"Województwo łódzkie. mapa turytyczna",Europilot,1,Mapy
1532,"Tobie ojczyzno. 15 pieśni zaangażowanych","Łódzki dom kultury",1,"Śpiewniki"
1533,"Tak żyli ludzie. Od celtów do średniowiecznych rycerzy","Giovanni Casellini",1,"Dla każdego"
1534,"Poezja w służbie harcerstwa","Krąg instruktorski ""Zespół bohater""",2,"Dla każdego"
